binary_tier,streak_id,dip_duration
non-premium,1,2
non-premium,3,2
non-premium,5,1
non-premium,7,9
non-premium,9,1
non-premium,11,1
non-premium,13,21
non-premium,15,2
non-premium,17,2
non-premium,19,1
non-premium,21,1
non-premium,23,16
non-premium,25,1
non-premium,27,3
non-premium,29,6
non-premium,31,1
non-premium,33,2
non-premium,35,3
non-premium,37,1
non-premium,39,2
non-premium,41,4
non-premium,43,2
non-premium,45,20
non-premium,47,1
non-premium,49,43
non-premium,51,1
non-premium,53,1
non-premium,55,10
non-premium,57,12
non-premium,59,2
non-premium,61,10
non-premium,63,1
non-premium,65,8
non-premium,67,2
non-premium,69,17
non-premium,71,2
non-premium,73,19
non-premium,75,5
non-premium,77,2
non-premium,79,1
non-premium,81,1
non-premium,83,3
non-premium,85,2
non-premium,87,1
non-premium,89,1
non-premium,91,1
non-premium,93,2
non-premium,95,1
non-premium,97,12
non-premium,99,6
non-premium,101,2
non-premium,103,6
non-premium,105,7
non-premium,107,1
non-premium,109,11
non-premium,111,1
non-premium,113,1
non-premium,115,1
non-premium,117,2
non-premium,119,1
non-premium,121,1
non-premium,123,3
non-premium,125,1
non-premium,127,4
non-premium,129,8
non-premium,131,1
non-premium,133,23
non-premium,135,1
non-premium,137,1
non-premium,139,2
non-premium,141,5
non-premium,143,1
non-premium,145,1
non-premium,147,1
non-premium,149,13
non-premium,151,40
non-premium,153,88
non-premium,155,1
non-premium,157,7
non-premium,159,6
non-premium,161,5
non-premium,163,10
non-premium,165,1
non-premium,167,19
non-premium,169,1
non-premium,171,1
non-premium,173,1
non-premium,175,7
non-premium,177,1
non-premium,179,5
non-premium,181,10
non-premium,183,5
non-premium,185,3
non-premium,187,28
non-premium,189,6
non-premium,191,1
non-premium,193,19
non-premium,195,20
non-premium,197,1
non-premium,199,43
non-premium,201,6
non-premium,203,1
non-premium,205,19
non-premium,207,1
non-premium,209,4
non-premium,211,6
non-premium,213,7
non-premium,215,20
non-premium,217,25
non-premium,219,12
non-premium,221,1
non-premium,223,1
non-premium,225,3
non-premium,227,1
non-premium,229,14
non-premium,231,1
non-premium,233,23
non-premium,235,2
non-premium,237,1
non-premium,239,1
non-premium,241,2
non-premium,243,1
non-premium,245,1
non-premium,247,12
non-premium,249,4
non-premium,251,3
non-premium,253,9
non-premium,255,34
non-premium,257,1
non-premium,259,6
non-premium,261,2
non-premium,263,1
non-premium,265,11
non-premium,267,7
non-premium,269,3
non-premium,271,1
non-premium,273,10
non-premium,275,1
non-premium,277,1
non-premium,279,1
non-premium,281,4
non-premium,283,1
non-premium,285,3
non-premium,287,2
non-premium,289,1
non-premium,291,1
non-premium,293,1
non-premium,295,4
non-premium,297,1
non-premium,299,2
non-premium,301,4
non-premium,303,1
non-premium,305,3
non-premium,307,1
non-premium,309,1
non-premium,311,1
non-premium,313,1
non-premium,315,3
non-premium,317,1
non-premium,319,1
non-premium,321,1
non-premium,323,11
non-premium,325,5
non-premium,327,1
non-premium,329,1
non-premium,331,2
non-premium,333,17
non-premium,335,1
non-premium,337,5
non-premium,339,11
non-premium,341,1
non-premium,343,1
non-premium,345,5
non-premium,347,4
non-premium,349,1
non-premium,351,1
non-premium,353,3
non-premium,355,2
non-premium,357,1
non-premium,359,2
non-premium,361,2
non-premium,363,3
non-premium,365,1
non-premium,367,1
non-premium,369,4
non-premium,371,14
non-premium,373,2
non-premium,375,2
